Name,Subclass,Url,Division,Retailer,District
R.A.M. OIL CYPRUS LIMITED - Nicosia,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-62?ref=listtile,,FuelDaddy,Nicosia
ADELFOI P & P CHRISTODOULOU LIMITED - Nicosia,,https://www.fueldaddy.com.cy/en/adelfoi-p-p-christodoyloy-limited?ref=listtile,,FuelDaddy,Nicosia
D. KTORIDIS & YIOS LTD - Nicosia,,https://www.fueldaddy.com.cy/en/d-ktoridis-yios-ltd-2?ref=listtile,,FuelDaddy,Nicosia
R.A.M. OIL CYPRUS LIMITED - Nicosia,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-61?ref=listtile,,FuelDaddy,Nicosia
PETROLINA (HOLDINGS) PUBLIC LIMITED - Nicosia,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-63?ref=listtile,,FuelDaddy,Nicosia
KOSTAKIS D. KONSTANTINOU - Nicosia,,https://www.fueldaddy.com.cy/en/kostakis-d-konstantinoy-1?ref=listtile,,FuelDaddy,Nicosia
TROPALI PETROLEUM TWO LTD - Nicosia,,https://www.fueldaddy.com.cy/en/tropali-petroleum-two-ltd-1?ref=listtile,,FuelDaddy,Nicosia
SIMOS KADI LIMITED - Nicosia,,https://www.fueldaddy.com.cy/en/simos-kadi-limited-1?ref=listtile,,FuelDaddy,Nicosia
A. PSARAS LTD - Nicosia,,https://www.fueldaddy.com.cy/en/a-psaras-ltd-1?ref=listtile,,FuelDaddy,Nicosia
POWERPULLS LIMITED - Nicosia,,https://www.fueldaddy.com.cy/en/powerpulls-limited-1?ref=listtile,,FuelDaddy,Nicosia
K. KOFTEROS & G. GEROU LIMITED - Nicosia,,https://www.fueldaddy.com.cy/en/k-kofteros-g-geroy-limited-1?ref=listtile,,FuelDaddy,Nicosia
ANDREAS DOROTHEOU & YIOI LIMITED - Nicosia,,https://www.fueldaddy.com.cy/en/andreas-dorotheoy-yioi-limited?ref=listtile,,FuelDaddy,Nicosia
R.A.M. OIL CYPRUS LIMITED - Nicosia,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-68?ref=listtile,,FuelDaddy,Nicosia
A G A PETROL STATION LIMITED - Nicosia,,https://www.fueldaddy.com.cy/en/a-g-a-petrol-station-limited-1?ref=listtile,,FuelDaddy,Nicosia
P. & F. ZANTI LIMITED - Nicosia,,https://www.fueldaddy.com.cy/en/p-f-zanti-limited-2?ref=listtile,,FuelDaddy,Nicosia
A.C.C. AVRAAM ENTERPRISES LIMITED - Nicosia,,https://www.fueldaddy.com.cy/en/acc-avraam-enterprises-limited-1?ref=listtile,,FuelDaddy,Nicosia
Y2 FUEL SERVICES (CY) LTD - Nicosia,,https://www.fueldaddy.com.cy/en/y2-fuel-services-cy-ltd-1?ref=listtile,,FuelDaddy,Nicosia
JENKERA LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/jenkera-limited?ref=listtile,,FuelDaddy,Limassol
STAROIL (CYPRUS) LTD - Limassol,,https://www.fueldaddy.com.cy/en/staroil-cyprus-ltd-16?ref=listtile,,FuelDaddy,Limassol
ARISTOS TH. ARISTEIDOU LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/aristos-th-aristeidoy-limited?ref=listtile,,FuelDaddy,Limassol
R.A.M. OIL CYPRUS LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-49?ref=listtile,,FuelDaddy,Limassol
CORAL ENERGY PRODUCTS CYPRUS LTD - Limassol,,https://www.fueldaddy.com.cy/en/coral-energy-products-cyprus-ltd-25?ref=listtile,,FuelDaddy,Limassol
PETROLINA (HOLDINGS) PUBLIC LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-50?ref=listtile,,FuelDaddy,Limassol
PETROLINA (HOLDINGS) PUBLIC LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-51?ref=listtile,,FuelDaddy,Limassol
PETROLINA (HOLDINGS) PUBLIC LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-52?ref=listtile,,FuelDaddy,Limassol
SOFOCLIS PETROL STATION LTD - Limassol,,https://www.fueldaddy.com.cy/en/sofoclis-petrol-station-ltd?ref=listtile,,FuelDaddy,Limassol
S.L. PETROLEUM SERVICES LTD - Limassol,,https://www.fueldaddy.com.cy/en/sl-petroleum-services-ltd-1?ref=listtile,,FuelDaddy,Limassol
CORAL ENERGY PRODUCTS CYPRUS LTD - Limassol,,https://www.fueldaddy.com.cy/en/coral-energy-products-cyprus-ltd-27?ref=listtile,,FuelDaddy,Limassol
R.A.M. OIL CYPRUS LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-54?ref=listtile,,FuelDaddy,Limassol
PETROLINA (HOLDINGS) PUBLIC LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-57?ref=listtile,,FuelDaddy,Limassol
R.A.M. OIL CYPRUS LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-53?ref=listtile,,FuelDaddy,Limassol
CORAL ENERGY PRODUCTS CYPRUS LTD - Limassol,,https://www.fueldaddy.com.cy/en/coral-energy-products-cyprus-ltd-29?ref=listtile,,FuelDaddy,Limassol
PETROLINA (HOLDINGS) PUBLIC LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-53?ref=listtile,,FuelDaddy,Limassol
PETROLINA (HOLDINGS) PUBLIC LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-58?ref=listtile,,FuelDaddy,Limassol
CORAL ENERGY PRODUCTS CYPRUS LTD - Limassol,,https://www.fueldaddy.com.cy/en/coral-energy-products-cyprus-ltd-26?ref=listtile,,FuelDaddy,Limassol
A & K PAVLOU TRADING LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/a-k-pavlou-trading-limited-1?ref=listtile,,FuelDaddy,Limassol
R.A.M. OIL CYPRUS LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-59?ref=listtile,,FuelDaddy,Limassol
M.K. GENETHLIOU & YIOI LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/mk-genethlioy-yioi-limited-1?ref=listtile,,FuelDaddy,Limassol
PETROLINA (HOLDINGS) PUBLIC LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-83?ref=listtile,,FuelDaddy,Limassol
PAMBINOS PETROL STATION LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/pambinos-petrol-station-limited-1?ref=listtile,,FuelDaddy,Limassol
LEFKIOS NICOLAOU ENTERPRISES LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/lefkios-nicolaou-enterprises-limited-3?ref=listtile,,FuelDaddy,Limassol
S.K.P. ENTERPRISES LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/skp-enterprises-limited-1?ref=listtile,,FuelDaddy,Limassol
R.A.M. OIL CYPRUS LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-94?ref=listtile,,FuelDaddy,Limassol
INDEXICO LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/indexico-limited-1?ref=listtile,,FuelDaddy,Limassol
E&P PETROL STATION LTD - Limassol,,https://www.fueldaddy.com.cy/en/ep-petrol-station-ltd-2?ref=listtile,,FuelDaddy,Limassol
PETROLINA (HOLDINGS) PUBLIC LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-60?ref=listtile,,FuelDaddy,Limassol
S & K TIGGER TRADING LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/s-k-tigger-trading-limited-2?ref=listtile,,FuelDaddy,Limassol
R.A.M. OIL CYPRUS LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-94?ref=listtile,,FuelDaddy,Limassol
INDEXICO LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/indexico-limited-1?ref=listtile,,FuelDaddy,Limassol
E&P PETROL STATION LTD - Limassol,,https://www.fueldaddy.com.cy/en/ep-petrol-station-ltd-2?ref=listtile,,FuelDaddy,Limassol
KYRIAKOS KOMPOS & YIOI LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/kyriakos-kompos-yioi-limited-2?ref=listtile,,FuelDaddy,Limassol
NIKOS S. NIKOLAIDIS LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/nikos-s-nikolaidis-limited-1?ref=listtile,,FuelDaddy,Limassol
PAMBINOS & SONS LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/pambinos-sons-limited-2?ref=listtile,,FuelDaddy,Limassol
KIKIS P. MICHAILOUDIS LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/kikis-p-michailoydis-limited?ref=listtile,,FuelDaddy,Limassol
R.A.M. OIL CYPRUS LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-88?ref=listtile,,FuelDaddy,Larnaca
CORAL ENERGY PRODUCTS CYPRUS LTD - Larnaca,,https://www.fueldaddy.com.cy/en/coral-energy-products-cyprus-ltd-46?ref=listtile,,FuelDaddy,Larnaca
TRIKENO LTD - Larnaca,,https://www.fueldaddy.com.cy/en/trikeno-ltd?ref=listtile,,FuelDaddy,Larnaca
P1 PETROLEUM LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/p1-petroleum-limited-1?ref=listtile,,FuelDaddy,Larnaca
R.A.M. OIL CYPRUS LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-86?ref=listtile,,FuelDaddy,Larnaca
CORAL ENERGY PRODUCTS CYPRUS LTD - Larnaca,,https://www.fueldaddy.com.cy/en/coral-energy-products-cyprus-ltd-42?ref=listtile,,FuelDaddy,Larnaca
M.A.N.I. PANAGIOTOU LTD - Larnaca,,https://www.fueldaddy.com.cy/en/mani-panagiotoy-ltd?ref=listtile,,FuelDaddy,Larnaca
R.A.M. OIL CYPRUS LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-89?ref=listtile,,FuelDaddy,Larnaca
R.A.M. OIL CYPRUS LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-85?ref=listtile,,FuelDaddy,Larnaca
P2 PETROLEUM LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/p2-petroleum-limited-1?ref=listtile,,FuelDaddy,Larnaca
R.A.M. OIL CYPRUS LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-82?ref=listtile,,FuelDaddy,Larnaca
PETROLINA (HOLDINGS) PUBLIC LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-74?ref=listtile,,FuelDaddy,Larnaca
STAUROS KARAGIANNAS LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/stayros-karagiannas-limited?ref=listtile,,FuelDaddy,Larnaca
KOSTAS SOTIRIOU & YIOS (STATHMOS VENZINIS) LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/kostas-sotirioy-yios-stathmos-venzinis-limited-1?ref=listtile,,FuelDaddy,Larnaca
PETROLINA (HOLDINGS) PUBLIC LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-76?ref=listtile,,FuelDaddy,Larnaca
PETROLINA (HOLDINGS) PUBLIC LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-73?ref=listtile,,FuelDaddy,Larnaca
KALL-ENI CITY GAS STATION LTD - Larnaca,,https://www.fueldaddy.com.cy/en/kall-eni-city-gas-station-ltd-1?ref=listtile,,FuelDaddy,Larnaca
GEORGIA NIKOLAOU LTD - Larnaca,,https://www.fueldaddy.com.cy/en/georgia-nikolaoy-ltd?ref=listtile,,FuelDaddy,Larnaca
PETROLINA (HOLDINGS) PUBLIC LIMITED - Paphos,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-82?ref=listtile,,FuelDaddy,Paphos
CORAL ENERGY PRODUCTS CYPRUS LTD - Paphos,,https://www.fueldaddy.com.cy/en/coral-energy-products-cyprus-ltd-43?ref=listtile,,FuelDaddy,Paphos
ADELFOI KOURIDI LIMITED - Paphos,,https://www.fueldaddy.com.cy/en/adelfoi-koyridi-limited-4?ref=listtile,,FuelDaddy,Paphos
R.A.M. OIL CYPRUS LIMITED - Paphos,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-92?ref=listtile,,FuelDaddy,Paphos
ANDREAS M. KOMMATOS LIMITED - Paphos,,https://www.fueldaddy.com.cy/en/andreas-m-kommatos-limited-2?ref=listtile,,FuelDaddy,Paphos
CHARILAOS DANIIL LIMITED - Paphos,,https://www.fueldaddy.com.cy/en/charilaos-daniil-limited-2?ref=listtile,,FuelDaddy,Paphos
J.K PETROL STATION AND CARWASH LTD - Paphos,,https://www.fueldaddy.com.cy/en/jk-petrol-station-and-carwash-ltd?ref=listtile,,FuelDaddy,Paphos
SPLS TRADING CO LIMITED - Paphos,,https://www.fueldaddy.com.cy/en/spls-trading-co-limited-1?ref=listtile,,FuelDaddy,Paphos
