Period,Division,Official CPI,Online CPI,Official Monthly Change (%),Online Monthly Change (%)
2024-06,ALCOHOLIC BEVERAGES AND TOBACCO,102.66,100.0,,
2024-07,ALCOHOLIC BEVERAGES AND TOBACCO,102.67,100.25,0.009740892265730494,0.24999999999999467
2024-08,ALCOHOLIC BEVERAGES AND TOBACCO,103.6,100.79,0.9058147462744692,0.5386533665835413
2024-09,ALCOHOLIC BEVERAGES AND TOBACCO,104.05,100.79,0.4343629343629418,0.0
2024-10,ALCOHOLIC BEVERAGES AND TOBACCO,103.69,100.62,-0.34598750600672856,-0.16866752654033368
2024-11,ALCOHOLIC BEVERAGES AND TOBACCO,103.78,100.11,0.08679718391360058,-0.5068574836016748
2024-12,ALCOHOLIC BEVERAGES AND TOBACCO,103.37,99.89,-0.3950664867989895,-0.21975826590749925
2025-01,ALCOHOLIC BEVERAGES AND TOBACCO,103.51,100.01,0.13543581309858332,0.12013214535990802
2025-02,ALCOHOLIC BEVERAGES AND TOBACCO,103.57,100.46,0.05796541396965171,0.44995500449953596
2025-03,ALCOHOLIC BEVERAGES AND TOBACCO,103.67,102.41,0.09655305590423602,1.9410710730639158
2025-04,ALCOHOLIC BEVERAGES AND TOBACCO,103.49,105.43,-0.1736278576251582,2.9489307684796406
2025-05,ALCOHOLIC BEVERAGES AND TOBACCO,103.56,105.43,0.06763938544787074,0.0
2025-06,ALCOHOLIC BEVERAGES AND TOBACCO,103.73,105.57,0.16415604480495283,0.13278952859716586
2025-07,ALCOHOLIC BEVERAGES AND TOBACCO,103.94,105.17,0.20244866480285673,-0.37889551956047374
2025-08,ALCOHOLIC BEVERAGES AND TOBACCO,103.88,105.27,-0.05772561092938222,0.09508414947227983
2025-09,ALCOHOLIC BEVERAGES AND TOBACCO,104.16,104.85,0.26954177897573484,-0.3989740666856645
2025-10,ALCOHOLIC BEVERAGES AND TOBACCO,104.03,104.22,-0.12480798771120627,-0.6008583690987113
2025-11,ALCOHOLIC BEVERAGES AND TOBACCO,104.32,104.15,0.2787657406517319,-0.067165611207054
2024-06,CLOTHING AND FOOTWEAR,108.77,100.0,,
2024-07,CLOTHING AND FOOTWEAR,97.5,95.42,-10.361312862002393,-4.579999999999995
2024-08,CLOTHING AND FOOTWEAR,96.85,95.64,-0.666666666666671,0.23055963110458766
2024-09,CLOTHING AND FOOTWEAR,102.0,93.98,5.3175012906556685,-1.7356754496026694
2024-10,CLOTHING AND FOOTWEAR,105.11,93.76,3.0490196078431397,-0.23409236007660983
2024-11,CLOTHING AND FOOTWEAR,107.09,90.62,1.8837408429264624,-3.3489761092150183
2024-12,CLOTHING AND FOOTWEAR,107.13,93.32,0.03735176020169817,2.9794747296402413
2025-01,CLOTHING AND FOOTWEAR,93.22,90.93,-12.984224773639497,-2.561080154307749
2025-02,CLOTHING AND FOOTWEAR,93.71,90.93,0.5256382750482569,0.0
2025-03,CLOTHING AND FOOTWEAR,96.32,91.4,2.785188347028056,0.5168811173430043
2025-04,CLOTHING AND FOOTWEAR,100.84,90.59,4.692691029900353,-0.8862144420131335
2025-05,CLOTHING AND FOOTWEAR,103.26,90.68,2.399841332804442,0.09934871398609157
2025-06,CLOTHING AND FOOTWEAR,103.14,88.88,-0.11621150493899002,-1.9850022055580174
2025-07,CLOTHING AND FOOTWEAR,90.38,84.41,-12.371533837502424,-5.029252925292527
2025-08,CLOTHING AND FOOTWEAR,89.39,84.94,-1.0953750829829523,0.6278876910318587
2025-09,CLOTHING AND FOOTWEAR,94.6,84.96,5.8283924376328455,0.023546032493526603
2025-10,CLOTHING AND FOOTWEAR,98.03,84.83,3.6257928118393234,-0.15301318267419983
2025-11,CLOTHING AND FOOTWEAR,98.94,82.35,0.9282872590023361,-2.9234940469173742
2024-06,COMMUNICATION,91.76,100.0,,
2024-07,COMMUNICATION,91.64,100.0,-0.13077593722755632,0.0
2024-08,COMMUNICATION,91.64,100.0,0.0,0.0
2024-09,COMMUNICATION,91.59,100.0,-0.0545613269314682,0.0
2024-10,COMMUNICATION,91.62,102.25,0.032754667540135785,2.2499999999999964
2024-11,COMMUNICATION,91.55,102.25,-0.07640253219821647,0.0
2024-12,COMMUNICATION,91.53,102.25,-0.021845985800106327,0.0
2025-01,COMMUNICATION,91.51,99.05,-0.021850759313879475,-3.1295843520782407
2025-02,COMMUNICATION,91.5,104.68,-0.01092776745711399,5.683997980817779
2025-03,COMMUNICATION,91.63,105.25,0.1420765027322357,0.544516622086344
2025-04,COMMUNICATION,91.45,105.37,-0.1964422132489263,0.11401425178148017
2025-05,COMMUNICATION,91.36,105.37,-0.09841443411701123,0.0
2025-06,COMMUNICATION,92.11,105.37,0.8209281961471193,0.0
2025-07,COMMUNICATION,92.12,105.37,0.0108565845185149,0.0
2025-08,COMMUNICATION,92.08,103.36,-0.043421623968742384,-1.9075638227199487
2025-09,COMMUNICATION,92.09,106.97,0.010860121633360365,3.492647058823528
2025-10,COMMUNICATION,92.14,104.25,0.05429471169506872,-2.542769000654388
2025-11,COMMUNICATION,92.09,110.84,-0.05426524853483494,6.321342925659468
2024-06,EDUCATION,111.91,100.0,,
2024-07,EDUCATION,111.91,100.0,0.0,0.0
2024-08,EDUCATION,111.95,100.39,0.03574300777411388,0.39000000000000146
2024-09,EDUCATION,114.94,100.39,2.67083519428315,0.0
2024-10,EDUCATION,116.18,100.39,1.0788237341221585,0.0
2024-11,EDUCATION,116.18,100.39,0.0,0.0
2024-12,EDUCATION,116.18,100.39,0.0,0.0
2025-01,EDUCATION,116.08,100.39,-0.08607333448098498,0.0
2025-02,EDUCATION,116.08,100.39,0.0,0.0
2025-03,EDUCATION,116.08,100.48,0.0,0.08965036358203893
2025-04,EDUCATION,116.08,100.48,0.0,0.0
2025-05,EDUCATION,116.08,100.48,0.0,0.0
2025-06,EDUCATION,116.08,101.6,0.0,1.1146496815286566
2025-07,EDUCATION,116.3,101.6,0.18952446588560434,0.0
2025-08,EDUCATION,116.3,101.6,0.0,0.0
2025-09,EDUCATION,118.85,101.6,2.1926053310404203,0.0
2025-10,EDUCATION,120.22,101.6,1.1527135044173464,0.0
2025-11,EDUCATION,120.01,101.6,-0.17467975378472334,0.0
2024-06,FOOD AND NON-ALCOHOLIC BEVERAGES,122.16,100.0,,
2024-07,FOOD AND NON-ALCOHOLIC BEVERAGES,124.43,101.01,1.8582187295350439,1.0099999999999998
2024-08,FOOD AND NON-ALCOHOLIC BEVERAGES,126.6,99.87,1.7439524230491,-1.1286011286011255
2024-09,FOOD AND NON-ALCOHOLIC BEVERAGES,128.2,103.0,1.2638230647709303,3.134074296585565
2024-10,FOOD AND NON-ALCOHOLIC BEVERAGES,127.85,104.58,-0.2730109204368114,1.5339805825242747
2024-11,FOOD AND NON-ALCOHOLIC BEVERAGES,124.96,103.3,-2.260461478294873,-1.2239433926180876
2024-12,FOOD AND NON-ALCOHOLIC BEVERAGES,125.79,103.75,0.664212548015386,0.4356243949661165
2025-01,FOOD AND NON-ALCOHOLIC BEVERAGES,122.73,102.9,-2.4326258049129468,-0.8192771084337247
2025-02,FOOD AND NON-ALCOHOLIC BEVERAGES,122.97,104.1,0.19555120997309938,1.1661807580174877
2025-03,FOOD AND NON-ALCOHOLIC BEVERAGES,121.53,104.13,-1.1710173212978736,0.02881844380404619
2025-04,FOOD AND NON-ALCOHOLIC BEVERAGES,122.45,104.03,0.7570147288735285,-0.09603380389896499
2025-05,FOOD AND NON-ALCOHOLIC BEVERAGES,123.97,103.7,1.2413229889750799,-0.3172161876381807
2025-06,FOOD AND NON-ALCOHOLIC BEVERAGES,121.12,99.72,-2.298943292732103,-3.837994214079077
2025-07,FOOD AND NON-ALCOHOLIC BEVERAGES,120.67,100.25,-0.3715323645970936,0.5314881668672333
2025-08,FOOD AND NON-ALCOHOLIC BEVERAGES,122.83,101.52,1.7900058009447273,1.2668329177057291
2025-09,FOOD AND NON-ALCOHOLIC BEVERAGES,124.66,101.27,1.4898640397297047,-0.24625689519306437
2025-10,FOOD AND NON-ALCOHOLIC BEVERAGES,125.12,99.85,0.3690036900369176,-1.4021921595734232
2025-11,FOOD AND NON-ALCOHOLIC BEVERAGES,121.1,98.13,-3.2129156010230253,-1.7225838758137213
2024-06,HEALTH,106.26,100.0,,
2024-07,HEALTH,106.34,100.03,0.07528703180876839,0.029999999999996696
2024-08,HEALTH,106.38,100.29,0.03761519653939782,0.25992202339297776
2024-09,HEALTH,106.75,100.29,0.3478097386726775,0.0
2024-10,HEALTH,106.95,100.29,0.18735362997659433,0.0
2024-11,HEALTH,106.96,100.29,0.009350163627863672,0.0
2024-12,HEALTH,107.03,100.29,0.06544502617802372,0.0
2025-01,HEALTH,107.64,100.29,0.5699336634588326,0.0
2025-02,HEALTH,108.03,100.29,0.36231884057971175,0.0
2025-03,HEALTH,108.23,100.88,0.1851337591409763,0.5882939475520876
2025-04,HEALTH,107.89,102.4,-0.3141458006098108,1.5067406819984308
2025-05,HEALTH,107.97,102.4,0.07414959681155686,0.0
2025-06,HEALTH,107.97,102.4,0.0,0.0
2025-07,HEALTH,108.13,101.85,0.14818931184588102,-0.5371093750000111
2025-08,HEALTH,108.2,102.99,0.06473689077961531,1.1192930780559607
2025-09,HEALTH,108.23,102.99,0.027726432532348966,0.0
2025-10,HEALTH,108.23,102.99,0.0,0.0
2025-11,HEALTH,108.23,102.99,0.0,0.0
2024-06,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",145.89,100.0,,
2024-07,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",146.16,100.03,0.18507094386182033,0.029999999999996696
2024-08,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",145.95,99.94,-0.143678160919547,-0.08997300809757691
2024-09,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",146.45,99.88,0.34258307639603025,-0.06003602161297472
2024-10,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",145.74,99.91,-0.4848071013997757,0.030036043251913114
2024-11,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",146.08,99.81,0.23329216412790732,-0.10009008107295658
2024-12,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",146.4,99.8,0.21905805038333614,-0.010019036168729123
2025-01,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",145.91,99.82,-0.3346994535519232,0.02004008016032177
2025-02,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",146.59,99.83,0.4660407100267383,0.010018032458436466
2025-03,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",147.12,99.77,0.3615526297837457,-0.0601021736952867
2025-04,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",142.58,99.7,-3.0859162588363187,-0.07016137115364307
2025-05,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",142.91,99.63,0.23144901108149707,-0.07021063189569521
2025-06,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",142.69,99.64,-0.15394304107479995,0.010037137408414054
2025-07,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",142.27,99.69,-0.29434438292801346,0.05018065034123609
2025-08,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",142.54,107.52,0.18977999578264626,7.854348480288897
2025-09,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",143.1,107.54,0.3928721762312293,0.01860119047620845
2025-10,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",144.16,107.49,0.7407407407407529,-0.046494327692037096
2025-11,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",144.37,107.49,0.145671476137621,0.0
2024-06,MISCELLANEOUS GOODS AND SERVICES,111.45,100.0,,
2024-07,MISCELLANEOUS GOODS AND SERVICES,111.53,102.9,0.07178106774337056,2.9000000000000137
2024-08,MISCELLANEOUS GOODS AND SERVICES,111.2,100.91,-0.29588451537703175,-1.9339164237123563
2024-09,MISCELLANEOUS GOODS AND SERVICES,111.67,100.23,0.4226618705035934,-0.6738678029927558
2024-10,MISCELLANEOUS GOODS AND SERVICES,112.44,102.88,0.6895316557714581,2.6439189863314283
2024-11,MISCELLANEOUS GOODS AND SERVICES,111.94,100.78,-0.44468160796869993,-2.041213063763603
2024-12,MISCELLANEOUS GOODS AND SERVICES,111.69,99.96,-0.22333392889047898,-0.8136535026791125
2025-01,MISCELLANEOUS GOODS AND SERVICES,111.69,99.35,0.0,-0.6102440976390566
2025-02,MISCELLANEOUS GOODS AND SERVICES,111.35,99.29,-0.30441400304414,-0.06039255158529766
2025-03,MISCELLANEOUS GOODS AND SERVICES,111.84,99.27,0.4400538841490942,-0.02014301540941288
2025-04,MISCELLANEOUS GOODS AND SERVICES,112.25,99.35,0.36659513590844295,0.0805882945502212
2025-05,MISCELLANEOUS GOODS AND SERVICES,112.42,99.22,0.15144766146992783,-0.1308505284348227
2025-06,MISCELLANEOUS GOODS AND SERVICES,112.64,99.22,0.1956947162426559,0.0
2025-07,MISCELLANEOUS GOODS AND SERVICES,112.44,99.35,-0.17755681818182323,0.13102197137673244
2025-08,MISCELLANEOUS GOODS AND SERVICES,112.36,98.21,-0.07114905727498844,-1.1474584801207888
2025-09,MISCELLANEOUS GOODS AND SERVICES,112.79,98.21,0.38269846920613304,0.0
2025-10,MISCELLANEOUS GOODS AND SERVICES,113.11,98.34,0.28371309513253173,0.13236941248346845
2025-11,MISCELLANEOUS GOODS AND SERVICES,113.09,98.21,-0.017681902572708186,-0.13219442749644594
2024-06,RECREATION AND CULTURE,112.6,100.0,,
2024-07,RECREATION AND CULTURE,114.66,99.67,1.8294849023090531,-0.32999999999999696
2024-08,RECREATION AND CULTURE,115.38,100.93,0.6279434850863463,1.2641717668305352
2024-09,RECREATION AND CULTURE,115.38,96.53,0.0,-4.359457049440207
2024-10,RECREATION AND CULTURE,116.57,106.59,1.031374588316858,10.421630581166475
2024-11,RECREATION AND CULTURE,116.6,104.53,0.025735609505028734,-1.9326390843418695
2024-12,RECREATION AND CULTURE,116.45,101.73,-0.12864493996568305,-2.678656844924898
2025-01,RECREATION AND CULTURE,116.51,103.84,0.05152425933876437,2.0741177627052076
2025-02,RECREATION AND CULTURE,116.5,103.83,-0.008582954252855934,-0.009630200308174963
2025-03,RECREATION AND CULTURE,116.75,105.96,0.21459227467810482,2.051430222479045
2025-04,RECREATION AND CULTURE,116.72,105.54,-0.025695931477520695,-0.3963759909399678
2025-05,RECREATION AND CULTURE,118.48,105.55,1.5078821110349638,0.009475080538168257
2025-06,RECREATION AND CULTURE,118.33,106.31,-0.1266036461850195,0.720037896731407
2025-07,RECREATION AND CULTURE,119.33,107.47,0.8450942280064266,1.09114852789014
2025-08,RECREATION AND CULTURE,119.88,106.89,0.46090672923824183,-0.5396854936261297
2025-09,RECREATION AND CULTURE,119.2,106.89,-0.5672339005672322,0.0
2025-10,RECREATION AND CULTURE,118.98,108.72,-0.18456375838925565,1.7120404153802893
2025-11,RECREATION AND CULTURE,119.02,98.6,0.03361909564632004,-9.30831493745401
2024-06,RESTAURANTS AND HOTELS,127.94,100.0,,
2024-07,RESTAURANTS AND HOTELS,128.89,100.31,0.742535563545399,0.31000000000001027
2024-08,RESTAURANTS AND HOTELS,129.57,100.31,0.5275816587788196,0.0
2024-09,RESTAURANTS AND HOTELS,129.84,100.31,0.20838156980782507,0.0
2024-10,RESTAURANTS AND HOTELS,130.04,100.4,0.15403573629080292,0.0897218622271101
2024-11,RESTAURANTS AND HOTELS,129.76,100.73,-0.2153183635804412,0.32868525896414535
2024-12,RESTAURANTS AND HOTELS,129.98,100.73,0.1695437731195959,0.0
2025-01,RESTAURANTS AND HOTELS,130.23,101.51,0.19233728265886096,0.7743472649657468
2025-02,RESTAURANTS AND HOTELS,130.38,101.93,0.11518083390924527,0.4137523396709808
2025-03,RESTAURANTS AND HOTELS,132.7,101.93,1.7794140205553033,0.0
2025-04,RESTAURANTS AND HOTELS,133.28,102.01,0.4370761115297661,0.07848523496516435
2025-05,RESTAURANTS AND HOTELS,133.54,102.33,0.19507803121248113,0.31369473581019935
2025-06,RESTAURANTS AND HOTELS,134.97,110.0,1.07084019769359,7.495358154988763
2025-07,RESTAURANTS AND HOTELS,135.34,110.08,0.27413499296140564,0.07272727272726875
2025-08,RESTAURANTS AND HOTELS,135.45,110.2,0.08127678439484587,0.10901162790697416
2025-09,RESTAURANTS AND HOTELS,135.56,109.93,0.08121077888521011,-0.24500907441016295
2025-10,RESTAURANTS AND HOTELS,135.81,109.78,0.1844201829448222,-0.1364504684799428
2025-11,RESTAURANTS AND HOTELS,136.22,109.92,0.3018923496060699,0.12752778283839916
2024-06,TRANSPORT,117.88,100.0,,
2024-07,TRANSPORT,119.2,100.66,1.1197828299966073,0.6599999999999939
2024-08,TRANSPORT,118.8,101.14,-0.3355704697986628,0.47685277170674834
2024-09,TRANSPORT,114.8,100.67,-3.367003367003363,-0.4647023927229599
2024-10,TRANSPORT,113.83,100.78,-0.8449477351916368,0.10926790503624773
2024-11,TRANSPORT,114.08,100.86,0.2196257577088634,0.07938082952967385
2024-12,TRANSPORT,113.85,100.22,-0.20161290322581182,-0.6345429307951567
2025-01,TRANSPORT,114.17,100.22,0.28107158541941235,0.0
2025-02,TRANSPORT,115.66,100.03,1.30507138477709,-0.1895829175813213
2025-03,TRANSPORT,114.75,99.72,-0.7867888639114584,-0.3099070278916316
2025-04,TRANSPORT,114.72,99.96,-0.02614379084967533,0.24067388688326918
2025-05,TRANSPORT,112.01,100.64,-2.3622733612273294,0.6802721088435382
2025-06,TRANSPORT,112.83,100.1,0.7320774930809737,-0.5365659777424536
2025-07,TRANSPORT,115.15,99.08,2.056190729415941,-1.0189810189810133
2025-08,TRANSPORT,115.18,99.02,0.026052974381252092,-0.060557125555105173
2025-09,TRANSPORT,113.69,99.33,-1.2936273658621378,0.31306806705715395
2025-10,TRANSPORT,113.4,99.46,-0.2550796024276436,0.13087687506292411
2025-11,TRANSPORT,113.3,99.91,-0.08818342151676317,0.45244319324351245
