Date,Name,Subclass,Price,Division,Retailer
2025-03-28,GLOSTAD διθέσιος καναπές,Household furniture,139,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,MELLTORP/ADDE τραπέζι και 4 καρέκλες,Household furniture,106.96,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"FEJAN πτυσσόμενη καρέκλα, εξωτερικού χώρου",Garden furniture,15,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"TARNO τραπέζι εξωτερικού χώρου, 55x54 cm",Garden furniture,19.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"BAGGEBO βιβλιοθήκη, 50x30x80 cm",Other furniture and furnishings,24.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"GURSKEN σκελετός κρεβατιού με κεφαλάρι, 140x200 cm",Other furniture and furnishings,109,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"GURSKEN ντουλάπα, 49x55x186 cm",Other furniture and furnishings,69.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"GURSKEN συρταριέρα με 3 συρτάρια, 69x67 cm",Other furniture and furnishings,49.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"KNARREVIK κομοδίνο, 37x28 cm",Other furniture and furnishings,9.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,MARIUS Σκαμπό,Other furniture and furnishings,5.49,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"TIPHEDE χαλί, χαμηλή πλέξη",Carpets and rugs,9.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"KLEJS χαλί, χαμηλή πλέξη",Carpets and rugs,1.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"KLAMPENBORG χαλάκι πόρτας/εσωτερικού χώρου, 35x55 cm",Carpets and rugs,1.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,IVRIG Ποτήρι,"Glassware, crystal-ware, ceramic ware and chinaware",1.79,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,OFTAST Πιάτο,"Glassware, crystal-ware, ceramic ware and chinaware",0.79,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,OFTAST Μπολ,"Glassware, crystal-ware, ceramic ware and chinaware",0.79,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"MOPSIG μαχαιροπίρουνα, σετ 16 τεμ.","Cutlery, flatware and silverware",8.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"ANNONS Σκεύη μαγειρικής, σετ 3 τεμ.","Cutlery, flatware and silverware",14.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,"BARLAST επιτραπέζιο φωτιστικό, 31 cm",Lighting equipment,4.49,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,RESTAD φωτιστικό οροφής,Lighting equipment,12.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,TAGARP φωτιστικό δαπέδου/διαβάσματος,Lighting equipment,19.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,FORENLIG κασπό εσωτερικού/εξωτερικού χώρου,Garden products,1.49,RECREATION AND CULTURE,IKEA
2025-03-28,IKEA PS 2002 Ποτιστήρι,Garden products,1.79,RECREATION AND CULTURE,IKEA
2025-03-28,"STJÄRNANIS ζαρντινιέρα/εξωτερικού χώρου, 43x15 cm",Garden products,19.99,RECREATION AND CULTURE,IKEA
2025-03-28,"PHALAENOPSIS φυτό, Ορχιδέα με 1 βλαστό",Plants and flowers,11.99,RECREATION AND CULTURE,IKEA
2025-03-28,"HYACINTHUS φυτό σε γλάστρα/Υάκινθος 1 βολβός, 8 cm",Plants and flowers,11.99,RECREATION AND CULTURE,IKEA
2025-03-28,"VINTERFINT τεχνητό λουλούδι/Υάκινθος, 22 cm",Plants and flowers,4.99,RECREATION AND CULTURE,IKEA
2025-03-28,"UTSADD μπολ για κατοικίδια, 11 cm",Products for pets,3.99,RECREATION AND CULTURE,IKEA
2025-03-28,UTSADD λούτρινο παιχνίδι για σκύλο,Products for pets,3.99,RECREATION AND CULTURE,IKEA
2025-03-28,UTSADD λούτρινο παιχνίδι για σκύλο,Products for pets,4.99,RECREATION AND CULTURE,IKEA
2025-03-28,HÄGRANDE μπρίκι 700 ml,"Cutlery, flatware and silverware",12.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,MIDDAGSMAT κατσαρόλα με καπάκι 2 l,"Cutlery, flatware and silverware",9.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,TÄRNÖ Πτυσσόμενη καρέκλα,Garden furniture,15,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,NÄMMARÖ σκαμπό/πτυσσόμενο/εξωτερικού χώρου 37x45 cm,Garden furniture,19.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,NEIDEN σκελετός κρεβατιού 140X200 cm,Household furniture,109,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,SONGESAND συρταριέρα με 3 συρτάρια,Household furniture,139,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",IKEA
2025-03-28,Refrigerator TESLA RD2400ME white,"Refrigerators, freezers and fridge-freezers",249,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Freezer BOSCH GSV24VWEV white,"Refrigerators, freezers and fridge-freezers",675,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Refrigerator LG GTB574SHHZD white,"Refrigerators, freezers and fridge-freezers",949,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Washing machine TESLA WF101590M white,"Clothes washing machines, clothes drying machines and dish washing machines",575,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Dishwasher TESLA WD631M white,"Clothes washing machines, clothes drying machines and dish washing machines",325,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Tumble dryer MIDEA MD200H90W/T-CY titanium,"Clothes washing machines, clothes drying machines and dish washing machines",575,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Multicooker SENCOR Slow Cooker SPR 5508BK black,Cookers,114,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Microwave oven Turntable MATESTAR MM-720CW white,Cookers,74.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Air Conditioner with Inverter TESLA TA36FFML-1232IA,"Heaters, air conditioners",379,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Vacuum Cleaner MATESTAR MAT-3813R red,Cleaning equipment,59.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Kitchen machine BOSCH MCM3100W white,Food processing appliances,84,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Mixer for frappe OSIO OMM-2211 BL black,"Coffee machines, tea makers and similar appliances",11.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Electric pot for Cyprus coffee OSIO OCP-2502BR black/red,"Coffee machines, tea makers and similar appliances",18.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Filter coffee machine SENCOR SCE 3700BK black/chrome,"Coffee machines, tea makers and similar appliances",36,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Kettle SENCOR SWK 1748WH white,"Coffee machines, tea makers and similar appliances",22.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Iron BLAUPUNKT HSI201BL white/blue,Irons,23.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Toaster MATESTAR MAT-6002W white,Toasters and grills,28.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Barbecue Grill LIFE BBQ King 221-0137 black,Toasters and grills,38,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Smartphone XIAOMI Redmi 9A LTE Dual SIM grey,Mobile telephone equipment,114,COMMUNICATION,Stephanis
2025-03-28,Back Cover Case for Samsung Galaxy A13 4G CELLY GELSKIN1022 transparent,Mobile telephone equipment,11.95,COMMUNICATION,Stephanis
2025-03-28,Cable USB-A male/USB-C male 2.0 1.2m OSIO OTU-5912B black,Mobile telephone equipment,6.5,COMMUNICATION,Stephanis
2025-03-28,Action camera 4K Outdoor Sports Ultra HD 606481 black,"Equipment for the reception, recording and reproduction of sound and vision",38,RECREATION AND CULTURE,Stephanis
2025-03-28,Portable speaker YENKEE,"Equipment for the reception, recording and reproduction of sound",22.95,RECREATION AND CULTURE,Stephanis
2025-03-28,Earphones with microphone SAMSUNG EO-IA500BBEGWW black,"Equipment for the reception, recording and reproduction of sound",13.95,RECREATION AND CULTURE,Stephanis
2025-03-28,Instant camera FUJIFILM Instax Mini 12 white,Cameras,89,RECREATION AND CULTURE,Stephanis
2025-03-28,Laptop BLACKVIEW Acebook 8 grey,Personal computers,335,RECREATION AND CULTURE,Stephanis
2025-03-28,Laptop ASUS Vivobook 15 X1504ZA-BQ638W 90NB1022-M01KJ0 silver,Personal computers,465,RECREATION AND CULTURE,Stephanis
2025-03-28,Laptop LENOVO IdeaPad 1 15AMN7 82VG00DQCY grey,Personal computers,549,RECREATION AND CULTURE,Stephanis
2025-03-28,Case for laptop 13.3 RIVACASE Tivoli 8720 gray,Accessories for information processing equipment,23.95,RECREATION AND CULTURE,Stephanis
2025-03-28,Cleaning Kit SENCOR,Accessories for information processing equipment,7.5,RECREATION AND CULTURE,Stephanis
2025-03-28,Accessory kit PRO-MOUNTS Bag of Mounts PM2013GP99,Accessories for information processing equipment,18.95,RECREATION AND CULTURE,Stephanis
2025-03-28,Electronic Skipping Rope MULTIFUN MF-SR01,Equipment for sport,12,RECREATION AND CULTURE,Stephanis
2025-03-28,Shaver BEURER Βody Groomer HR 6000 black,Electric appliances for personal care,55,MISCELLANEOUS GOODS AND SERVICES,Stephanis
2025-03-28,Hair clipper REMINGTON HC5150,Electric appliances for personal care,47.5,MISCELLANEOUS GOODS AND SERVICES,Stephanis
2025-03-28,Hair dryer LIFE Character 221-0238 purple,Electric appliances for personal care,36,MISCELLANEOUS GOODS AND SERVICES,Stephanis
2025-03-28,Digital thermometer JOYROOM Body Non Contact XS-IFT002B,Electric appliances for personal care,45,MISCELLANEOUS GOODS AND SERVICES,Stephanis
2025-03-28,Smartwatch Strap για XIAOMI Redmi Watch 4/Smart Band 8 Pro BHR8002GL orange,Clocks and watches,28.95,MISCELLANEOUS GOODS AND SERVICES,Stephanis
2025-03-28,Board Game 50/50 QUIZ - Animals,Games and hobbies,6.5,RECREATION AND CULTURE,Stephanis
2025-03-28,Board Game 50/50 QUIZ - Wolrd,Games and hobbies,6.5,RECREATION AND CULTURE,Stephanis
2025-03-28,Board Game ZITO! Ninja Academy T-ZIT-51609,Games and hobbies,10.95,RECREATION AND CULTURE,Stephanis
2025-03-28,Board Game 50/50 Games - Athletics,Games and hobbies,6.5,RECREATION AND CULTURE,Stephanis
2025-03-28,Board Game ZITO! Rent A Hero T-ZIT-51308,Games and hobbies,10.95,RECREATION AND CULTURE,Stephanis
2025-03-28,Air Conditioner with Inverter TESLA TT34EX21-1232IA,"Heaters, air conditioners",379,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Air Conditioner with Inverter TESLA TT26EX81-0932IAW white,"Heaters, air conditioners",359,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Air Conditioner with Inverter TESLA TT26EX21-0932IA,"Heaters, air conditioners",339,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Air Conditioner with Inverter MIDEA AG2Eco 09NXD0-I Xtreme Save 9000 Smart white,"Heaters, air conditioners",425,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Iron TESLA IR200R red,Irons,23.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Iron SENCOR SSI 2027BL white/blue,Irons,18.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Iron SENCOR SSI 6100GR green/white,Irons,28.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Ink bottle EPSON 103 EcoTank C13T00S14A black,Miscellaneous printed matter,13.95,RECREATION AND CULTURE,Stephanis
2025-03-28,Ink bottle CANON GI-490B 0663C001AA black,Miscellaneous printed matter,13.95,RECREATION AND CULTURE,Stephanis
2025-03-28,Ink bottle EPSON T6641 C13T66414A L365/565 black,Miscellaneous printed matter,13.95,RECREATION AND CULTURE,Stephanis
2025-03-28,Ink bottle EPSON T6642 C13T66424A L365/565 cyan,Miscellaneous printed matter,13.95,RECREATION AND CULTURE,Stephanis
2025-03-28,Paper A4 500 sheets 80 g,Paper products,5.5,RECREATION AND CULTURE,Stephanis
2025-03-28,Paper HP A4 Office Matte CHP110 white 500pcs,Paper products,5.5,RECREATION AND CULTURE,Stephanis
2025-03-28,Paper CANON Photo Paper Plus Glossy II (PP-201) 13x13cm 20pcs,Paper products,7.5,RECREATION AND CULTURE,Stephanis
2025-03-28,Card Board Game MATTEL Uno DOS FRM36,Games and hobbies,6.5,RECREATION AND CULTURE,Stephanis
2025-03-28,Toy LEGO Classic: Creative Blue Bricks 11006,Toys and celebration articles,4.99,RECREATION AND CULTURE,Stephanis
2025-03-28,Εκπαιδευτικό παιδικό βιβλίο Μαθαίνω Να Γράφω - Τους Αριθμούς,Educational text books,3.75,RECREATION AND CULTURE,Stephanis
2025-03-28,Toy PLAYMOBIL Special Plus: Mermaid 9355,Toys and celebration articles,4.25,RECREATION AND CULTURE,Stephanis
2025-03-28,Toy PLAYMOBIL 1.2.3: Construction Worker with Wheelbarrow 70409,Toys and celebration articles,4.75,RECREATION AND CULTURE,Stephanis
2025-03-28,Instant camera FUJIFILM Instax Mini 12 purple,Cameras,89,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Digital camera AGFAPHOTO Realishot DC5200 red,Cameras,74,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Vacuum cleaner SENCOR SVC 45RD red,Cleaning equipment,55,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Vacuum cleaner SENCOR SVC 5501BK black,Cleaning equipment,65,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Action camera LAMTECH 4K ULTRA HD LAM021165 black,"Equipment for the reception, recording and reproduction of sound and vision",55,RECREATION AND CULTURE,Stephanis
2025-03-28,Action camera SENCOR 3CAM 4K04WR black,"Equipment for the reception, recording and reproduction of sound and vision",65,RECREATION AND CULTURE,Stephanis
2025-03-28,Kitchen machine BOSCH MCM3200W white,Food processing appliances,109,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Fishing Tool Set 70pcs HI 66258,Equipment for sport,11.35,RECREATION AND CULTURE,Stephanis
2025-03-28,Outdoor Game Wood Finnish Throwing in Net HI 66144,Equipment for sport,12.3,RECREATION AND CULTURE,Stephanis
2025-03-28,Kettle SENCOR SWK 1799SS chrome,Other small electric household appliances,33,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
2025-03-28,Blender/Chopper TESLA Delight Series HB510BWS blue/white,Other small electric household appliances,55,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
