Name,Subclass,Url,Division,Retailer
Wholemeal Bread Sliced,Bread,sliced-wholemeal-bread,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Village Bread Sliced,Bread,sliced-village-bread,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Bananas,Fresh or chilled fruit,bananas,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Apple Pink,Fresh or chilled fruit,apples-pink-lady,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Grapes White,Fresh or chilled fruit,grapes-white,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Apples Green,Fresh or chilled fruit,apples-green,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Pears,Fresh or chilled fruit,pears,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Apples Red Chief,Fresh or chilled fruit,apples-red-chief,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Blueberries,Fresh or chilled fruit,blueberries,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Apples Golden,Fresh or chilled fruit,apples-golden,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Pomegranates,Fresh or chilled fruit,pomegranates,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Apples Royal Gala,Fresh or chilled fruit,apples-royal-gala,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Oranges Merlin,Fresh or chilled fruit,oranges-merlin,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Oranges for Juice,Fresh or chilled fruit,oranges-for-juice,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Pineapple,Fresh or chilled fruit,pineapple,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Mango,Fresh or chilled fruit,mango,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Tomatoes Ripe for Salsa,Fresh or chilled vegetables other than potatoes and other tubers,tomatoes-ripe-for-salsa,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Cucumbers fleid,Fresh or chilled vegetables other than potatoes and other tubers,cucumbers-field,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Red Onions,Fresh or chilled vegetables other than potatoes and other tubers,red-onions,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Cucumbers Greenhouse,Fresh or chilled vegetables other than potatoes and other tubers,cucumbers-greenhouse,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Cherry Tomatos,Fresh or chilled vegetables other than potatoes and other tubers,cherry-tomatos,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Mixed Peppers,Fresh or chilled vegetables other than potatoes and other tubers,mixed-peppers,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Potatoes Washed,Potatoes,potatoes-washed,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
St. Nicholas Water,Mineral or spring waters,st-nicholas-water,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Dried Prunes with Pit,Dried fruit and nuts,dried-prunes-with-pit,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Smoked Turkey,"Dried, salted or smoked meat",smoked-turkey,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Ham,"Dried, salted or smoked meat",ham,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Lettuce Cos,Fresh or chilled vegetables other than potatoes and other tubers,lettuce-cos,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
TZIVERTI Cyprus Wildflowers Honey squeeze 485g,"Jams, marmalades and honey",tziverti-cyprus-wildflowers-honey-squeeze-485g,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Philadelphia Original,Cheese and curd,philadelphia-original,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Kellogg’s Special K Classic 375g,Breakfast cereals,kelloggs-special-k-classic-375g,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Kellogg’s Crunchy Nut 375 g,Breakfast cereals,kelloggs-crunchy-nut-375-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
ARTOZYM traditional pitta bread x 5pcs 550g,Other bakery products,artozym-traditional-pitta-bread-x-5pcs-550g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
PERSEAS white sliced loaf 750g,Other bakery products,perseas-white-sliced-loaf-750g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
American type buns for hot dogs 4pcs,Other bakery products,american-type-buns-for-hot-dogs-4pcs/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
BAKANDYS traditional wheat crisp rolls (with sesame seeds and spices) 300g,Other bakery products,bakandys-traditional-wheat-crisp-rolls-with-sesame-seeds-and-spices-300g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
JOHNSOF Double Baked wheat croutons 320g,Other bakery products,johnsof-double-baked-wheat-croutons-320g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
ELITE wheat rusks 500g (3+1 FREE),Other bakery products,elite-wheat-rusks-500g-31-free/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
ELITE wheat & rye rusks 360g (3+1 FREE),Other bakery products,elite-wheat-rye-rusks-360g-31-free/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
BARILLA spaghetti 500g (n.5),Pasta products and couscous,barilla-spaghetti-500g-n-5/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MELISSA spaghetti No6 500g,Pasta products and couscous,melissa-spaghetti-no6-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MELISSA orzo 500g,Pasta products and couscous,melissa-orzo-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MITSIDES spaghetti 500g,Pasta products and couscous,mitsides-spaghetti-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MITSIDES orzo 500g,Pasta products and couscous,mitsides-orzo-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MITSIDES mezzani A 500g,Pasta products and couscous,mitsides-mezzani-a-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MITSIDES traditional Cyprus macaroni 500g,Pasta products and couscous,mitsides-traditional-cyprus-macaroni-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
TRIUMPH spaghetti 500g,Pasta products and couscous,triumph-spaghetti-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
TILDA basmati rice 1kg,Rice,tilda-basmati-rice-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
3A basmati rice 1kg,Rice,3a-basmati-rice-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
3A premium jasmine rice 1kg,Rice,3a-premium-jasmine-rice-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
SAILOR table sea salt 250g (plastic),"Salt, spices and culinary herbs",sailor-table-sea-salt-250g-plastic/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
CARNATION SPICES jar mixed herbs 15g,"Salt, spices and culinary herbs",carnation-spices-jar-mixed-herbs-15g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
CARNATIONS SPICES jar turmeric 50g,"Salt, spices and culinary herbs",carnations-spices-jar-turmeric-50g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
CARNATION SPICES jar sweet paprica 50g,"Salt, spices and culinary herbs",carnation-spices-jar-sweet-paprica-50g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
CARNATION SPICES jar thyme 20g,"Salt, spices and culinary herbs",carnation-spices-jar-thyme-20g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
CARNATION SPICES jar parsley 15g,"Salt, spices and culinary herbs",carnation-spices-jar-parsley-15g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
CARNATION SPICES jar basil 20g,"Salt, spices and culinary herbs",carnation-spices-jar-basil-20g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
CARNATION SPICES jar rosemary 20g,"Salt, spices and culinary herbs",carnation-spices-jar-rosemary-20g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
SERANO cashew nuts raw 140g,Dried fruit and nuts,serano-cashew-nuts-raw-140g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
SERANO hazelnut kernels raw 150g,Dried fruit and nuts,serano-hazelnut-kernels-raw-150g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
SERANO Roasted salted peanuts 200g,Dried fruit and nuts,serano-roasted-salted-peanuts-200g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
dried fruit AMALIA – apricots 250g,Dried fruit and nuts,dried-fruit-amalia-apricots-250g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
dried fruit KARPOS APO TH GH MAS – prunes with pit 400g,Dried fruit and nuts,dried-fruit-karpos-apo-th-gh-mas-prunes-with-pit-400g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
dried fruit AMALIA – dates 250g,Dried fruit and nuts,dried-fruit-amalia-dates-250g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
dried fruit SERANO – raisins 300g,Dried fruit and nuts,dried-fruit-serano-raisins-300g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
dried fruit SERANO – prunes without pit 250g,Dried fruit and nuts,dried-fruit-serano-prunes-without-pit-250g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
honey – MAVROUDES 380g,"Jams, marmalades and honey",honey-mavroudes-380g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
honey – TZIVERTI Cyprus wildflowers 500g,"Jams, marmalades and honey",honey-tziverti-cyprus-wildflowers-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
honey – OROS MAXAIRA blossom honey squeezy 480g,"Jams, marmalades and honey",honey-oros-maxaira-blossom-honey-squeezy-480g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
LAYS salt & vinegar 160g,Crisps,lays-salt-vinegar-160g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
LAYS salted 160g,Crisps,lays-salted-160g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
EL SABOR nacho chips 225g – Texas BBQ (gluten free),Crisps,el-sabor-nacho-chips-225g-texas-bbq-gluten-free/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MITSIDES tomato paste 4x70g,"Sauces, condiments",mitsides-tomato-paste-4x70g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
KEAN pomilori seived tomatoes 690g,"Sauces, condiments",kean-pomilori-seived-tomatoes-690g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
SWS tomato paste 425g,"Sauces, condiments",sws-tomato-paste-425g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MITSIDES passata 3x500g (Economy Pack),"Sauces, condiments",en/mitsides-passata-3x500g,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
stock MAGGI cubes chicken (12pcs) 132g,"Sauces, condiments",stock-maggi-cubes-chicken-12pcs-132g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
stock MAGGI cubes vegetable (12pcs) 132g,"Sauces, condiments",stock-maggi-cubes-vegetable-12pcs-132g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
stock MAGGI cubes for pasta (12pcs) 132g,"Sauces, condiments",stock-maggi-cubes-for-pasta-12pcs-132g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
stock KNORR cubes chicken (12pcs) 120g,"Sauces, condiments",stock-knorr-cubes-chicken-12pcs-120g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
stock KNORR cubes vegetables without salt (8pcs) 72g,"Sauces, condiments",stock-knorr-cubes-vegetables-without-salt-8pcs-72g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
AMBROSIA sunflower oil 4L,Other edible oils,ambrosia-sunflower-oil-4l/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
RIO MARE tuna in olive oil 2 X 160g,"Dried, smoked or salted fish and seafood",rio-mare-tuna-in-olive-oil-2-x-160g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
RIO MARE tuna in olive oil 3x80g,"Dried, smoked or salted fish and seafood",rio-mare-tuna-in-olive-oil-3x80g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
TRATA smoked herring fillet 150g,"Dried, smoked or salted fish and seafood",trata-smoked-herring-fillet-150g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
FLOKOS Mackeler Fillet 150g – Smoked in Vegetable Oil,"Dried, smoked or salted fish and seafood",flokos-mackeler-fillet-150g-smoked-in-vegetable-oil/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
CHAMEAU anchovies flat fillets 50g,"Dried, smoked or salted fish and seafood",chameau-anchovies-flat-fillets-50g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
KARLA corned beef 340g,Other meat preparations,karla-corned-beef-340g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
TULIP chopped ham 200g,Other meat preparations,tulip-chopped-ham-200g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
ZWAN luncheon meat chicken 200g,Other meat preparations,zwan-luncheon-meat-chicken-200g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MESOGIOS Chickpeas 400g,"Dried vegetables, other preserved or processed vegetables",mesogios-chickpeas-400g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MESOGIOS sweet corn 340g,"Dried vegetables, other preserved or processed vegetables",mesogios-sweet-corn-340g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MESOGIOS sliced mushrooms 400g,"Dried vegetables, other preserved or processed vegetables",mesogios-sliced-mushrooms-400g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
NOYNOY sweetened condensed milk 397g,Other milk products,noynoy-sweetened-condensed-milk-397g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
soup HEINZ vegetable 400g,Other food products n.e.c.,soup-heinz-vegetable-400g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
FROU FROU Joker 300g (9+3 FREE),Other food products n.e.c.,frou-frou-joker-300g-93-free/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
FROU FROU morning coffee 150g,Other food products n.e.c.,frou-frou-morning-coffee-150g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
KINDER chocolate 4x50g,Other food products n.e.c.,kinder-chocolate-4x50g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
OREO Original creme biscuits 154g,Other food products n.e.c.,oreo-original-creme-biscuits-154g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
PAPADOPOULOS sandwich biscuits 200g – chocolate cream filling,Other food products n.e.c.,papadopoulos-sandwich-biscuits-200g-chocolate-cream-filling/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
flour MITSIDES all purpose 1kg,Flours and other cereals,flour-mitsides-all-purpose-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
BAKANDYS couverture (4×37.5g)150g – milk chocolate,Chocolate,bakandys-couverture-4x37-5g150g-milk-chocolate/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
starch AMALIA maize powdered 500g,Confectionery products,starch-amalia-maize-powdered-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
starch MONAMI corn flour 350g,Confectionery products,starch-monami-corn-flour-350g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
lady fingers BAKANDYS 200g,Confectionery products,lady-fingers-bakandys-200g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
yeast YIOTIS dry instant (3 sachets x 8g) 24g,Confectionery products,yeast-yiotis-dry-instant-3-sachets-x-8g-24g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
SPRY pure vegetable shortening 350g,Confectionery products,spry-pure-vegetable-shortening-350g-2/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
TOMATOES local 1Kg,Fresh or chilled vegetables other than potatoes and other tubers,tomatoes-local-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
CUCUMBERS local 1Kg,Fresh or chilled vegetables other than potatoes and other tubers,cucumbers-local-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
CHERRY TOMATOES local 500g,Fresh or chilled vegetables other than potatoes and other tubers,cherry-tomatoes-local-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
PEPPERS green local 750g,Fresh or chilled vegetables other than potatoes and other tubers,peppers-green-local-750g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
POTATOES fresh local 3Kg bag,Potatoes,potatoes-fresh-local-3kg-bag/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
BANANAS imported 1kg,Fresh or chilled fruit,bananas-imported-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
APPLES pink lady 1kg,Fresh or chilled fruit,apples-pink-lady-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
GRAPES RED 1kg,Fresh or chilled fruit,grapes-red-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
GRAPES white 1kg,Fresh or chilled fruit,grapes-white-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
APPLES grany smith imported 1kg,Fresh or chilled fruit,apples-grany-smith-imported-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
PEARS imported 1kg,Fresh or chilled fruit,pears-imported-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
APPLES galant 1kg,Fresh or chilled fruit,apples-galant-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
BLUEBERRIES 125g,Fresh or chilled fruit,blueberries-125g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
APPLES golden delicious 1kg,Fresh or chilled fruit,apples-golden-delicious-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
APPLES starkin imported 1kg,Fresh or chilled fruit,apples-starkin-imported-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
ORANGES merlin 1kg,Fresh or chilled fruit,oranges-merlin-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
PINEAPPLE imported apprx 1.500kg,Fresh or chilled fruit,pineapple-imported-apprx-1-500kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MANGO imported apprx 500g,Fresh or chilled fruit,mango-imported-apprx-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
COCONUT per piece,Fresh or chilled fruit,coconut-per-piece/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
ARLYCO pork neck chops apprx 850g – 900g,Pork,arlyco-pork-neck-chops-apprx-850g-900g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
